Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
D E C E M B E R,8.0,Samurai Maiden[a],"Win, NS, PS4, PS5",Hack and slash,Shade Inc.,D3 Publisher,[960]
D E C E M B E R,8.0,Soukai Tenki[c],NS,Visual novel,Altergear,Idea Factory,[973]
D E C E M B E R,8.0,Vampire Survivors,"iOS, Droid",Roguelike,Luca Galante,Luca Galante,[974]
D E C E M B E R,8.0,Witch on the Holy Night,"NS, PS4",Visual novel,Type-Moon,Aniplex,[975]
D E C E M B E R,9.0,Adventure Academia: The Fractured Continent[a],"Win, NS, PS4",Strategy,Acquire,PQube,[976]
D E C E M B E R,9.0,Choo-Choo Charles,Win,Survival,Two Star Games,Two Star Games,[977]
D E C E M B E R,9.0,Dragon Quest Treasures,NS,Action role-playing,Tose,Square Enix,[531]
D E C E M B E R,9.0,Jitsu Squad,"NS, PS4, PS5, XBO, XSX",Beat 'em up,Tanuki Creative Studio,ININ Games,[978]
D E C E M B E R,13.0,Crisis Core: Final Fantasy VII Reunion,"Win, NS, PS4, PS5, XBO, XSX",Action role-playing,Square Enix,Square Enix,[979]
D E C E M B E R,13.0,High on Life,"Win, XBO, XSX",First-person shooter,Squanch Games,Squanch Games,[980]
D E C E M B E R,13.0,Neon White,"PS4, PS5",First-person shooter,Angel Matrix,Annapurna Interactive,[981]
D E C E M B E R,13.0,Potion Craft,"Win, XBO, XSX",Simulation,Niceplay Games,tinyBuild,[982]
D E C E M B E R,14.0,Lil Gator Game,"Win, NS",Action-adventure,MegaWobble,Playtonic Friends,[983]
D E C E M B E R,14.0,The Witcher 3: Wild Hunt,"PS5, XSX",Action role-playing,CD Projekt Red,CD Projekt,[984]
D E C E M B E R,15.0,Aka,"Win, NS",Simulation,Cosmo Gatto,Neowiz,[906]
D E C E M B E R,15.0,Akai Katana Shin,"NS, PS4, XBO",Bullet hell,Cave,City Connection,[985]
D E C E M B E R,15.0,Azure Striker Gunvolt 3,"PS4, PS5",Action,Inti Creates,Inti Creates,[986]
D E C E M B E R,15.0,Blacktail,"Win, PS5, XSX",Action-adventure,The Parasight,Focus Entertainment,[987]
D E C E M B E R,15.0,Grime,"PS4, PS5, XBO, XSX",Metroidvania,Clover Bite,Akupara Games,[988]
D E C E M B E R,15.0,River City Girls 2[a],"Win, NS, PS4, PS5, XBO, XSX",Beat 'em up,WayForward,Arc System Works,[989]
D E C E M B E R,16.0,Megaton Musashi X[c],"NS, PS4, PS5",Action role-playing,Level-5,Level-5,[990]
D E C E M B E R,19.0,Iron Lung,NS,Survival,Dread XP,Dread XP,[991]
D E C E M B E R,19.0,Mortal Shell: Complete Edition,NS,Action role-playing,Cold Symmetry,Playstack,[992]
D E C E M B E R,20.0,Super Lesbian Animal RPG,Win,Role-playing,ponett,ponett,[993]
D E C E M B E R,20.0,Turnip Boy Commits Tax Evasion,PS4,Action-adventure,Snoozy Kazoo,Graffiti Games,[322]
D E C E M B E R,21.0,Sail Forth,"Win, NS, PS4, PS5, XBO, XSX",Adventure,Festive Vector,The Quantum Astrophysicists Guild,[994]
D E C E M B E R,22.0,Fitness Boxing Fist of the North Star[c],NS,Exergaming,Imagineer,Imagineer,[995]
D E C E M B E R,22.0,Hyper Gunsport,"Win, NS, XBO, XSX",Action,Necrosoft Games,Necrosoft Games,[996]
D E C E M B E R,22.0,Majestic Majolical[c],NS,Visual novel,Dazkarat,Entergram,[997]
D E C E M B E R,22.0,Naraka: Bladepoint,XBO,Action-adventure,Thunder Fire Universe X Studio,NetEase Games,[998]
D E C E M B E R,22.0,Uta no Prince-sama All Star After Secret[c],NS,Visual novel,Nippon Ichi Software,Broccoli,[999]
D E C E M B E R,22.0,Valkyrie Profile: Lenneth,"PS4, PS5",Role-playing,tri-Ace,Square Enix,[1000]
D E C E M B E R,23.0,Sports Story,NS,Adventure,Sidebar Games,Sidebar Games,[1001]
D E C E M B E R,28.0,Hyper Gunsport,"PS4, PS5",Action,Necrosoft Games,Necrosoft Games,[996]
D E C E M B E R,,,,,,,
