Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
J U N E,10,Metal Max Xeno Reborn[a],"Win, NS, PS4",Role-playing,"24Frame, Cattle Call, Kadokawa Games",PQube,[473]
J U N E,10,Meteor World Actor: Badge & Dagger[a],Win,Visual novel,Heliodor,Shiravune,[474]
J U N E,10,The Origin: Blind Maid,PS4,Horror,Waraní Studios,Badland Publishing,[475]
J U N E,10,Poinpy,"iOS, Droid",Action,Moppin,Devolver Digital,[476]
J U N E,10,The Quarry,"Win, PS4, PS5, XBO, XSX",Survival,Supermassive Games,2K Games,[477]
J U N E,10,Symphony of War: The Nephilim Saga,Win,Role-playing,Dancing Dragon Games,Freedom Games,[478]
J U N E,11,Deadly Premonition 2: A Blessing in Disguise,Win,Survival,Toybox,Rising Star Games,[479]
J U N E,11,LumbearJack,"Win, NS",Puzzle,FinalBoss Games,Armor Games Studios,[480]
J U N E,13,Jumanji: The Curse Returns,NS,Card Game,Marmalade Game Studio,Marmalade Game Studio,[481]
J U N E,13,Resident Evil 2,"PS5, XSX",Survival,Capcom,Capcom,[482]
J U N E,13,Resident Evil 3,"PS5, XSX",Survival,Capcom,Capcom,[482]
J U N E,13,Resident Evil 7: Biohazard,"PS5, XSX",Survival,Capcom,Capcom,[482]
J U N E,14,Discovery Tour: Viking Age,Stadia,Simulation,Ubisoft,Ubisoft,[483]
J U N E,14,Kids on Site Hard Hat Edition,"Win, PS4",Horror,Screaming Villains,Screaming Villains,[484]
J U N E,14,LumbearJack,"XBO, XSX",Puzzle,FinalBoss Games,Armor Games Studios,[480]
J U N E,14,The Hand of Merlin,"Win, Mac, Lin, NS, PS4, PS5, XBO, XSX",Turn-based strategy,"Room-C Games, Croteam",Versus Evil,[485]
J U N E,15,Blackguards 2,NS,Turn-based strategy,Daedalic Entertainment,Daedalic Entertainment,[486]
J U N E,15,Deathrun TV,PS5,Roguelike,Laser Dog,Merge Games,[487]
J U N E,16,Astro Aqua Kitty,PS5,Action role-playing,Tikipod,Tikipod,[488]
J U N E,16,Autonauts,"NS, PS4, PS5, XBO, XSX",Action-adventure,Denki,Curve Games,[489]
J U N E,16,Cloud Gardens,NS,Simulation,Noio,Coatsink,[490]
J U N E,16,Disgaea 6 Complete[c],PS5,Tactical role-playing,Nippon Ichi Software,Nippon Ichi Software,[491]
J U N E,16,Frozenheim,Win,City-building,Paranoid Interactive,Hyperstrange,[492]
J U N E,16,Horgihugh and Friends[a],NS,Action,PiXEL,Aksys Games,[493]
J U N E,16,Neon White,"Win, NS",First-person shooter,Angel Matrix,Annapurna Interactive,[494]
J U N E,16,Overlord: Escape from Nazarick,"Win, NS",Metroidvania,Engines,Kadokawa Games,[495]
J U N E,16,Redout 2,"Win, NS, PS4, PS5, XBO, XSX",Racing,34BigThings,Saber Interactive,[496]
J U N E,16,Starship Troopers: Terran Command,Win,Strategy,The Aristocrats,Slitherine Software,[497]
J U N E,16,Teenage Mutant Ninja Turtles: Shredder's Revenge,"Win, Lin, NS, PS4, XBO",Beat 'em up,Tribute Games,Dotemu,[494]
J U N E,16,The Gardens Between,PS5,Puzzle,The Voxel Agents,The Voxel Agents,[498]
J U N E,16,Zorro - The Chronicles,"Win, NS, PS4, PS5, XBO, XSX, Stadia",Adventure,"PVP Games, BKOM Studios",Nacon,[499]
J U N E,17,Cooking Mama: Cuisine!,iOS,Simulation,Office Create,Office Create,[500]
J U N E,17,Final Fantasy VII Remake Intergrade,Win,Action role-playing,Square Enix,Square Enix,[501]
J U N E,17,Final Vendetta,"Win, Mac, Lin, NS, PS4, PS5, XBO, XSX",Beat 'em up,Bitmap Bureau,Numskull Games,[502]
J U N E,17,Omori,"NS, XBO, XSX",Role-playing,Omocat LLC,Playism,[503]
J U N E,20,Raft,Win,Survival,Redbeet Interactive,Axolot Games,[504]
J U N E,21,Fall Guys,"NS, PS5, XBO, XSX",Battle royale,Mediatonic,Epic Games,[494]
J U N E,21,Milky Way Prince - The Vampire Star,"NS, PS4, PS5, XSX",Visual novel,"Lorenzo Redaelli, Eyeguys","Santa Ragione, Fantastico Studio",[505]
J U N E,21,Roller Champions,NS,Sports,Ubisoft Montreal,Ubisoft,[506]
J U N E,21,Shadowrun Trilogy,"NS, PS4, PS5, XBO, XSX",Tactical role-playing,Harebrained Schemes,Paradox Interactive,[507]
J U N E,21,The Elder Scrolls Online: High Isle,"PS4, PS5, XBO, XSX",MMO,ZeniMax Online Studios,Bethesda Softworks,[456]
J U N E,21,The Game of Life 2,"PS4, PS5",Card Game,Marmalade Game Studio,Marmalade Game Studio,[508]
J U N E,21,The King of Fighters '98 Ultimate Match Final Edition,PS4,Fighting,Code Mystics,SNK,[509]
J U N E,21,Wreckfest,NS,Racing,Bugbear Entertainment,THQ Nordic,[510]
J U N E,22,Firegirl: Hack 'n Splash Rescue DX,"Win, NS, PS4, PS5, XBO, XSX",Roguelike,Dejima,Thunderful Publishing,[511]
